차명,변속기,인승,기통,마력,최대 토그,연료,주행거리,가격
제네시스 GV80 2.5 T-GDi AWD 5인승,자동,5인승,6기통,304마력,42.9kgm,가솔린,8천km,"6,250"
현대 뉴 제네시스 G330  프리미엄,자동,5인승,6기통,282마력,35.4kgm,가솔린,10만km,"2,400"
쌍용 렉스턴 스포츠 2.2 디젤 4WD 프레스티지,자동,5인승,,,,디젤,2만km,"1,800"
현대 그랜져HG 240 모던 컬렉션,자동,5인승,4기통,190마력,25.5kgm,가솔린,4만km,930
르노삼성 QM3 RE,자동,5인승,4기통,90마력,22.4kgm,디젤,8만km,599
현대 그랜져HG 240 모던,자동,5인승,4기통,190마력,25.5kgm,가솔린,6만km,950
기아 더 프레스티지 K7 2.4 GDI 프레스티지,자동,5인승,4기통,201마력,25.5kgm,가솔린,11만km,760
현대 그랜드스타렉스 15인승 어린이 보호차량,자동,,,,,디젤,7만km,"1,490"
기아 더 뉴 모하비 3.0 디젤 상시4WD 프레지던트,자동,5인승,6기통,260마력,56.1kgm,디젤,8만km,"2,790"
현대 그랜져IG 3.0 GDI 익스클루시브,자동,5인승,6기통,266마력,31.4kgm,가솔린,10만km,"1,790"
제네시스 G80 3.3 GDi AWD 프리미엄 럭셔리,자동,5인승,6기통,282마력,35.4kgm,가솔린,2만km,"3,340"
기아 더 뉴 모닝 1.0 가솔린 디럭스,자동,5인승,3기통,,,가솔린,9만km,430
기아 그랜드카니발 GLX 기본형,자동,11인승,,,,디젤,16만km,400
현대 더 럭셔리 그랜져 Q270 LPI 장애인용,자동,5인승,,,,LPG,16만km,420
쉐보레 스파크 LT,자동,5인승,4기통,70마력,9.4kgm,가솔린,9만km,320
쉐보레 크루즈 1.8 LT 플러스,자동,5인승,4기통,142마력,17.9kgm,가솔린,11만km,330
기아 레이 1.0 가솔린 프레스티지,자동,5인승,3기통,78마력,9.6kgm,가솔린,9만km,630
현대 아반떼MD M16 GDi 디럭스,자동,5인승,4기통,,,가솔린,11만km,350
르노삼성 SM7 뉴 아트 SE23 플러스,자동,5인승,6기통,170마력,23kgm,가솔린,18만km,150
쉐보레 더 넥스트 스파크 1.0 LS,자동,5인승,4기통,75마력,9.6kgm,가솔린,5만km,490
기아 레이 1.0 가솔린 럭셔리,자동,5인승,3기통,78마력,9.6kgm,가솔린,11만km,520
현대 아반떼AD 1.6 GDi 밸류 플러스,자동,5인승,4기통,132마력,16.3kgm,가솔린,7만km,890
쉐보레 더 뉴 스파크 1.0 LS,자동,5인승,4기통,75마력,9.7kgm,가솔린,6천km,820
현대 아반떼AD 1.6 GDi 모던 스페셜,자동,5인승,4기통,132마력,16.3kgm,가솔린,6만km,840
﻿현대 YF쏘나타 2.0 Y20 스포츠,자동,5인승,4기통,165마력,20.2kgm,가솔린,15만km,380
기아 K9 3.8 GDI 이그제큐티브,자동,5인승,6기통,334마력,40.3kgm,가솔린,9만km,"1,620"
기아 오피러스 프리미엄 GH330  스페셜 럭셔리,자동,5인승,6기통,259마력,32.2kgm,가솔린,11만km,450
현대 올 뉴 투싼 1.7 E-VGT 2WD  모던,자동,5인승,4기통,141마력,34.7kgm,디젤,4만km,"1,520"
현대 그랜드스타렉스 VAN 5인승  CVX 프리미엄,자동,5인승,,,,디젤,10만km,550
현대 그랜드스타렉스 VAN 3인승 CVX 럭셔리 ,자동,3인승,,,,디젤,12만km,880
기아 봉고3 1톤 더블캡 초장축,자동,,,,,디젤,10만km,930
르노삼성 QM6 2.0 dCi 4WD RE,자동,5인승,4기통,177마력,38.8kgm,디젤,9만km,"1,380"
현대 포터2 초장축 슈퍼캡 CRDi 고급형,자동,,,,,디젤,12만km,890
기아 올 뉴 모닝 1.0 가솔린 레이디,자동,5인승,3기통,,,가솔린,2만km,690
기아 더 뉴 레이 1.0 밴 고급형,자동,5인승,,,,가솔린,4만km,720
쌍용 체어맨W CW700 럭셔리,자동,5인승,6기통,250마력,35kgm,가솔린,10만km,740
기아 봉고3 1톤 더블캡 초장축,자동,,,,,디젤,7만km,"1,050"
르노삼성 SM6 2.0 GDe RE,자동,5인승,4기통,150마력,20.6kgm,가솔린,3만km,"1,330"
기아 더 뉴 K7 3.0 GDI 프레스티지,자동,5인승,6기통,270마력,31.6kgm,가솔린,14만km,"1,270"
현대 뉴 제네시스 G330 프리미엄 AWD,자동,5인승,6기통,282마력,35.4kgm,가솔린,14만km,"2,330"
현대 더 뉴 제네시스 쿠페 200 터보 S,자동,4인승,4기통,275마력,38kgm,가솔린,13만km,"1,070"
현대 i30 1.6 VVT 익스트림,자동,5인승,4기통,124마력,15.9kgm,가솔린,12만km,490
현대 싼타페DM 2.0 VGT 4WD 프리미엄,자동,7인승,4기통,184마력,41kgm,디젤,12만km,"1,390"
현대 아반떼AD 1.6 T-GDi 스포츠 M/T,수동,5인승,4기통,204마력,26.9kgm,가솔린,7만km,"1,070"
현대 LF쏘나타 2.0 CVVL 스타일,자동,5인승,4기통,168마력,20.5kgm,가솔린,14만km,850
기아 K3 쿱 1.6 T-GDi 노블레스,수동,5인승,4기통,204마력,27kgm,가솔린,12만km,600
기아 더 뉴 스포티지R 2.0 디젤 2WD 트렌디,자동,5인승,4기통,184마력,41kgm,디젤,11만km,"1,050"
기아 더 뉴 스포티지R 2.0 디젤 2WD 프레스티지,자동,5인승,4기통,184마력,41kgm,디젤,11만km,"1,020"
기아 포르테 쿱 2.0 CVVT 프레스티지,자동,5인승,4기통,158마력,20.2kgm,가솔린,15만km,420
기아 더 프레스티지 K7 3.0 GDI 럭셔리,자동,5인승,6기통,270마력,31.6kgm,가솔린,12만km,890
기아 K5 2.0 터보 노블레스,자동,5인승,4기통,271마력,37.1kgm,가솔린,16만km,790
기아 오피러스 프리미엄 GH330 프리미엄,자동,5인승,6기통,259마력,32.2kgm,가솔린,17만km,590
쉐보레 스파크 LT  스페셜 에디션,자동,5인승,4기통,70마력,9.4kgm,가솔린,4만km,580
현대 더 뉴 그랜져 G2.5 프리미엄 초이스,자동,5인승,,,,가솔린,1만km,200
쉐보레 트랙스 1.4 가솔린 LS 디럭스 패키지,자동,5인승,4기통,140마력,20.4kgm,가솔린,22만km,490
기아 스포티지R 2.0 디젤 2WD  TLX 고급형,자동,5인승,4기통,184마력,40kgm,디젤,19만km,680
르노삼성 SM7 VQ23 LE  플레저,자동,5인승,6기통,170마력,23kgm,가솔린,19만km,140
기아 프라이드 1.3 베타  SLX,수동,5인승,,,,가솔린,12만km,370
르노삼성 뉴 SM3 LE,자동,5인승,4기통,112마력,15.9kgm,가솔린,16만km,330
GM대우 뉴 다마스 2인승 판넬밴 DLX,수동,2인승,,,,LPG,9만km,380
현대 그랜져IG 2.4 GDI 프리미엄,자동,5인승,4기통,190마력,24.6kgm,가솔린,5만km,"2,200"
기아 올 뉴 카니발 2.2 디젤 9인승  프레스티지,자동,9인승,4기통,202마력,45kgm,디젤,7만km,"2,050"
르노삼성 SM5 뉴 임프레션 SE,자동,5인승,4기통,143마력,20kgm,가솔린,10만km,200
GM대우 뉴 다마스 2인승 판넬밴 슈퍼,수동,2인승,,,,LPG,3만km,450
현대 베라크루즈 4WD 익스클루시브 스페셜,자동,7인승,6기통,255마력,47.9kgm,디젤,16만km,"2,350"
기아 스토닉 1.4 가솔린 트렌디,자동,5인승,4기통,100마력,13.6kgm,가솔린,2만km,"1,950"
쌍용 뉴체어맨 CM700S 마제스티,자동,5인승,6기통,248마력,35kgm,가솔린,15만km,450
현대 뉴 제네시스 G330 프리미엄 AWD,자동,5인승,6기통,282마력,35.4kgm,가솔린,5만km,"2,950"
쌍용 체어맨W CW600 4트로닉 프레스티지,자동,5인승,6기통,225마력,30.2kgm,가솔린/LPG겸용,14만km,"1,200"
쌍용 더 뉴 코란도 스포츠 2.2 CX7 4WD 패션,자동,5인승,,,,디젤,8만km,"1,400"
현대 그레이스 15인승  그랜드 살롱,수동,15인승,,,,디젤,27만km,480
기아 더 K9 3.8 GDI AWD  베스트 셀렉션Ⅰ,자동,5인승,6기통,315마력,40.5kgm,가솔린,6천km,"5,200"
기아 카니발 4세대 3.5 가솔린 9인승 시그니처,자동,9인승,6기통,294마력,36.2kgm,가솔린,16km,"7,300"
현대 벨로스터 1.6 T-GDi 스포츠 코어,수동,4인승,4기통,204마력,27kgm,가솔린,5만km,"2,350"
쉐보레 더 뉴 스파크 1.0 LT,자동,5인승,4기통,75마력,9.7kgm,가솔린,3만km,730
기아 포르테 1.6 CVVT 프리미엄 SI  블랙,자동,5인승,4기통,124마력,15.9kgm,가솔린,12만km,450
현대 아이오닉 일렉트릭 Q,자동,5인승,,,,전기,4만km,"1,720"
르노삼성 SM6 2.0 LPe  SE,자동,5인승,,,,LPG,5만km,0
현대 쏘나타  G1.6T 인스퍼레이션,자동,5인승,4기통,180마력,27kgm,가솔린,8천km,"2,700"
르노삼성 SM6 1.5 dCi LE,자동,5인승,4기통,110마력,25.5kgm,디젤,4만km,"1,499"
현대 뉴 제네시스 G330  모던,자동,5인승,6기통,282마력,35.4kgm,가솔린,9만km,"2,290"
현대 i30 PD 1.6 T-GDi N 라인,수동,5인승,4기통,204마력,26.9kgm,가솔린,7만km,"1,990"
현대 싼타페 더 프라임 2.2 디젤 4WD 1 밀리언 얼티밋,자동,5인승,4기통,202마력,45kgm,디젤,10만km,"2,390"
현대 뉴 제네시스 G380 익스클루시브 AWD,자동,5인승,6기통,315마력,40.5kgm,가솔린,13만km,"2,230"
기아 올 뉴 K7 3.0 GDi 리미티드,자동,5인승,6기통,266마력,31.4kgm,가솔린,4만km,"2,990"
현대 LF쏘나타 2.0 CVVL 스마트,자동,5인승,4기통,168마력,20.5kgm,가솔린,6만km,"1,490"
기아 올 뉴 프라이드 1.6 GDI 해치백 럭셔리,수동,5인승,4기통,140마력,17kgm,가솔린,8만km,530
현대 뉴 에쿠스 VS 500 프레스티지,자동,5인승,8기통,416마력,52kgm,가솔린,21만km,"2,750"
기아 K7 VG270 LPI 프레스티지 프리미엄,자동,5인승,,,,LPG,24만km,890
기아 스팅어 2.0 T-GDi AWD 플래티넘,자동,5인승,,,,가솔린,6만km,"3,030"
기아 모하비 KV300 4WD,자동,7인승,6기통,260마력,56kgm,디젤,15만km,"2,130"
현대 벨로스터 익스트림 터보,자동,4인승,4기통,204마력,26.9kgm,가솔린,14만km,890
현대 제네시스 쿠페 200 터보 P,자동,4인승,4기통,210마력,30.5kgm,가솔린,15만km,490
현대 싼타페DM 2.0 VGT 2WD 프리미엄,자동,,,,,디젤,8만km,"1,390"
﻿현대 그랜드스타렉스 WAGON 11인승 HVX 프리미엄,자동,11인승,,,,디젤,13만km,550
기아 포르테 1.6 GDI 에코 플러스 럭셔리,자동,5인승,4기통,140마력,16.9kgm,가솔린,6만km,310
기아 그랜드카니발 R GLX R스페셜,자동,11인승,,,,디젤,10만km,610
쉐보레 스파크 LS 스타,자동,5인승,4기통,70마력,9.4kgm,가솔린,5만km,320
현대 그랜져HG 300 프라임,자동,5인승,6기통,270마력,31.6kgm,가솔린,14만km,550
르노삼성 뉴 SM3 SE,자동,5인승,4기통,112마력,15.9kgm,가솔린,7만km,270
쉐보레 임팔라 2.5 LTZ,자동,5인승,4기통,199마력,26kgm,가솔린,14만km,780
현대 올 뉴 투싼 1.7 E-VGT 2WD 프리미엄,자동,5인승,4기통,141마력,34.7kgm,디젤,8만km,"1,290"
쉐보레 더 넥스트 스파크 1.0 LT 플러스,자동,5인승,4기통,75마력,9.6kgm,가솔린,3만km,410
쌍용 티볼리 1.6 디젤 2WD TX,자동,5인승,4기통,115마력,30.6kgm,디젤,14만km,630
현대 그랜드스타렉스 WAGON 12인승  모던,자동,,,,,디젤,9만km,"1,260"
쉐보레 올란도 2.0 LPI  LT 세이프티,자동,7인승,4기통,140마력,18.8kgm,LPG,15만km,590
기아 포르테 쿱 2.0 CVVT 고급형 레드프리미엄,자동,5인승,4기통,158마력,20.2kgm,가솔린,9만km,300
기아 올 뉴 모닝 1.0 가솔린 트렌디,자동,5인승,3기통,,,가솔린,1만km,440
쌍용 티볼리 1.6 가솔린 4WD LX 최고급형,자동,5인승,4기통,126마력,16kgm,가솔린,7만km,990
쉐보레 올란도 2.0 LPI LS 고급형,자동,7인승,4기통,140마력,18.8kgm,LPG,11만km,450
쌍용 티볼리 아머 1.6 가솔린 2WD 기어 에디션,자동,5인승,4기통,126마력,16kgm,가솔린,3만km,"1,200"
기아 올 뉴 K7 2.4 GDi 프레스티지,자동,5인승,4기통,190마력,24.6kgm,가솔린,4만km,"1,850"
기아 K3 1.6 디젤 럭셔리,자동,5인승,4기통,128마력,26.5kgm,디젤,10만km,620
현대 싼타페 더스타일 2.0 e-VGT MLX 2WD 프리미어,자동,7인승,4기통,184마력,40kgm,디젤,11만km,750
르노삼성 뉴 SM3 SE,자동,5인승,4기통,117마력,16.1kgm,가솔린,14만km,250
쉐보레 더 뉴 스파크 1.0 프리미어,자동,5인승,4기통,75마력,9.7kgm,가솔린,2만km,940
기아 봉고3 1톤 더블캡 초장축,자동,,,,,디젤,7만km,"1,190"
현대 뉴 제네시스 G380 익스클루시브 AWD,자동,5인승,6기통,315마력,40.5kgm,가솔린,17만km,"1,890"
현대 싼타페DM 2.0 VGT 2WD 프리미엄,자동,,,,,디젤,3만km,"1,550"
현대 뉴 제네시스 G380 프레스티지 AWD,자동,5인승,6기통,315마력,40.5kgm,가솔린,9만km,"2,450"
현대 더 뉴 벨로스터 PYL,자동,4인승,4기통,140마력,16.9kgm,가솔린,13만km,720
기아 올 뉴 쏘렌토 2.0 디젤 2WD 노블레스,자동,5인승,4기통,186마력,41kgm,디젤,9만km,"1,870"
기아 모하비 KV300 4WD  최고급형,자동,7인승,6기통,260마력,56kgm,디젤,17만km,"1,530"
현대 아반떼MD M16 GDi  프리미어,자동,5인승,,,,가솔린,12만km,570
기아 올 뉴 모닝 1.0 가솔린 럭셔리,자동,5인승,3기통,82마력,9.6kgm,가솔린,7만km,320
쉐보레 더 넥스트 스파크 1.0 에코 LS,자동,5인승,4기통,75마력,9.7kgm,가솔린,3만km,370
현대 더 뉴 아반떼 1.6 LPi 모던,자동,5인승,,,,LPG,4만km,710
현대 제네시스 GP500 프라다,자동,5인승,8기통,430마력,52kgm,가솔린,14만km,"1,590"
기아 K5 2세대 2.0 T-GDI SX 노블레스 스페셜,자동,5인승,4기통,245마력,36kgm,가솔린,14만km,"1,330"
현대 제네시스 BH380 로얄 VIP 팩,자동,5인승,6기통,334마력,40.3kgm,가솔린,18만km,"1,190"
현대 뉴 제네시스 G330 모던,자동,5인승,6기통,282마력,35.4kgm,가솔린,6만km,"2,350"
제네시스 G80 3.3 T-GDi AWD 스포츠,자동,5인승,6기통,370마력,52kgm,가솔린,9만km,"3,990"
기아 더 뉴 레이 1.0 가솔린 럭셔리,자동,5인승,3기통,78마력,9.6kgm,가솔린,1만km,"1,250"
제네시스 G70 3.3 T-GDi AWD 스포츠 슈프림,자동,5인승,6기통,370마력,52kgm,가솔린,4만km,"3,530"
쌍용 코란도 스포츠 CX7 4WD 클럽,자동,5인승,,,,디젤,3만km,"1,399"
현대 더 뉴 i30 1.6 VGT PYL,자동,5인승,4기통,136마력,30.6kgm,디젤,2만km,"1,140"
현대 그랜드스타렉스 VAN 3인승 CVX 럭셔리 ,자동,3인승,,,,디젤,12만km,680
현대 그랜져IG 2.4 GDI 프리미엄 스페셜,자동,5인승,4기통,190마력,24.6kgm,가솔린,3만km,"1,770"
기아 더 뉴 모닝 1.0 가솔린  럭셔리,자동,5인승,3기통,,,가솔린,3만km,530
현대 싼타페DM 2.0 VGT 4WD 익스클루시브,자동,7인승,4기통,184마력,41kgm,디젤,5만km,"1,250"
현대 벨로스터 PYL ,자동,4인승,4기통,140마력,17kgm,가솔린,7만km,430
현대 아반떼AD 1.6 GDi 모던,자동,5인승,4기통,132마력,16.3kgm,가솔린,6만km,680
GM대우 윈스톰 스페셜 에디션 7인승 2WD,자동,7인승,4기통,150마력,32.6kgm,디젤,12만km,230
기아 뉴 스포티지 TLX 2WD 최고급형,자동,5인승,4기통,151마력,32kgm,디젤,10만km,210
현대 포터2 초장축 슈퍼캡 CRDi  스마트,수동,,,,,디젤,7만km,760
현대 아슬란 G300 익스클루시브,자동,5인승,6기통,266마력,31.4kgm,가솔린,1만km,"2,599"
제네시스 EQ900 5.0 GDi AWD 프레스티지,자동,5인승,8기통,425마력,53kgm,가솔린,3만km,"5,999"
제네시스 G80 3.3 T-GDi AWD 스포츠,자동,5인승,6기통,370마력,52kgm,가솔린,3만km,"4,499"
기아 더 뉴 카니발 3.3 가솔린 7인승 리무진 프레지던트,자동,7인승,6기통,280마력,34.7kgm,가솔린,2만km,"3,199"
쌍용 뉴 체어맨W CW700 4트로닉 VVIP,자동,5인승,6기통,250마력,35kgm,가솔린,15만km,"1,290"
현대 그랜드스타렉스 VAN 5인승 기본형,자동,,,,,디젤,6만km,"1,520"
쌍용 코란도 스포츠 CX7 4WD  패션,자동,5인승,,,,디젤,15만km,590
제네시스 G90 3.8 GDi AWD 럭셔리,자동,,,,,가솔린,5만km,"6,280"
현대 그랜드스타렉스 VAN 5인승 CVX 디럭스,수동,5인승,,,,디젤,23만km,450
현대 그랜져IG 3.0 LPi  모던,자동,5인승,6기통,235마력,28.6kgm,LPG,7만km,"1,540"
쌍용 코란도 C 클러비 2WD  파크,자동,5인승,4기통,181마력,36.7kgm,디젤,15만km,430
쌍용 뉴 로디우스 RD400 11인승 4WD  EZ 스페셜,자동,11인승,,,,디젤,16만km,210
현대 뉴 에쿠스 VS 380  럭셔리,자동,5인승,6기통,290마력,36.5kgm,가솔린,15만km,630
쉐보레 올란도 2.0 디젤  LTZ 프리미엄,자동,7인승,4기통,163마력,36.7kgm,디젤,15만km,410
기아 모하비 JV300 2WD  고급형,자동,7인승,6기통,250마력,55.1kgm,디젤,3만km,720
현대 그랜져IG 2.4 GDI  프리미엄,자동,5인승,4기통,190마력,24.6kgm,가솔린,10만km,"1,530"
쌍용 렉스턴 스포츠 2.2 디젤 2WD  어드벤처,자동,5인승,,,,디젤,3만km,"1,760"
쌍용 체어맨W CW700  럭셔리 그레이 에디션,자동,5인승,6기통,250마력,35kgm,가솔린,15만km,380
쌍용 티볼리 1.6 디젤 2WD  VX,자동,5인승,4기통,115마력,30.6kgm,디젤,9만km,780
﻿기아 더 뉴 K7 3.0 GDI  프레스티지,자동,5인승,6기통,270마력,31.6kgm,가솔린,15만km,730
제네시스 G80 3.3 GDi  럭셔리,자동,5인승,6기통,282마력,35.4kgm,가솔린,10만km,"1,990"
쉐보레 어메이징 뉴 크루즈 2.0 디젤 LTZ ,자동,5인승,4기통,163마력,36.7kgm,디젤,5만km,630
쉐보레 더 넥스트 스파크 1.0 LS  베이직,자동,5인승,4기통,,,가솔린,11만km,450
현대 포터2 초장축 더블캡 CRDi  기본형,자동,,,,,디젤,9만km,"1,090"
현대 그랜져IG 3.0 LPi 모던,자동,5인승,6기통,235마력,28.6kgm,LPG,10만km,"1,560"
기아 올 뉴 K7 3.0 LPi 프레스티지,자동,5인승,,,,LPG,10만km,"1,330"
기아 더 뉴 카니발 2.2 디젤 9인승 럭셔리,자동,9인승,4기통,202마력,45kgm,디젤,13만km,"1,500"
현대 엑센트 1.4 VVT 위트 프리미어,자동,5인승,4기통,108마력,13.9kgm,가솔린,11만km,449
기아 올 뉴 모닝 1.0 가솔린 디럭스 스페셜,자동,5인승,3기통,82마력,9.6kgm,가솔린,8만km,319
현대 YF쏘나타 2.0 Y20 프라임 블랙,자동,5인승,4기통,165마력,20.2kgm,가솔린,12만km,329
현대 아반떼MD M16 GDi 프리미어,자동,5인승,,,,가솔린,13만km,329
현대 LF쏘나타 2.0 CVVL 스마트 스페셜,자동,5인승,4기통,168마력,20.5kgm,가솔린,4만km,"1,499"
현대 올 뉴 투싼 2.0 E-VGT 2WD 모던 스페셜,자동,5인승,4기통,186마력,41kgm,디젤,8만km,"1,590"
제네시스 G70 3.3 T-GDi AWD 스포츠 슈프림,자동,5인승,6기통,370마력,52kgm,가솔린,7만km,"2,690"
기아 올 뉴 쏘렌토 2.0 디젤 2WD 노블레스 스페셜,자동,5인승,4기통,186마력,41kgm,디젤,10만km,"1,850"
현대 LF쏘나타 2.0 CVVL 프리미엄,자동,5인승,4기통,168마력,20.5kgm,가솔린,11만km,"1,290"
기아 올 뉴 쏘렌토 2.0 디젤 2WD 노블레스,자동,5인승,4기통,186마력,41kgm,디젤,10만km,"1,830"
현대 싼타페DM 2.2 VGT 2WD 익스클루시브 스페셜,자동,7인승,4기통,200마력,44.5kgm,디젤,11만km,"1,590"
쌍용 더 뉴 코란도 스포츠 2.2 익스트림 4WD,자동,5인승,,,,디젤,4만km,"2,250"
기아 더 뉴 스포티지R 2.0 T-GDI 트렌디,자동,5인승,4기통,261마력,37.2kgm,가솔린,4만km,"1,650"
쌍용 더 뉴 코란도 스포츠 2.2 CX7 4WD 비젼,자동,5인승,,,,디젤,5만km,"2,390"
GM대우 노부스 7톤 카고,수동,2인승,,,,디젤,28만km,"1,880"
현대 뉴 카운티 장축 투어 15인승,자동,,,,,디젤,7만km,"4,880"
GM대우 노부스 11.5톤 카고,수동,2인승,,,,디젤,60만km,990
현대 e마이티 2.5톤 내장탑차,자동,,,,,디젤,54만km,990
현대 뉴 카운티 장축 GOLD 25인승,자동,,,,,디젤,14만km,"4,650"
현대 e-카운티 롱바디 리무진 15인승,수동,,,,,디젤,3만km,"3,650"
GM대우 레스타 장축 리무진,자동,,,,,디젤,17만km,"5,500"
쌍용 티볼리 1.6 가솔린 2WD  VX,자동,5인승,4기통,126마력,16kgm,가솔린,4만km,960
현대 그랜져HG 300  프라임,자동,5인승,6기통,270마력,31.6kgm,가솔린,14만km,599
르노삼성 QM3 RE ,자동,5인승,4기통,90마력,22.4kgm,디젤,11만km,660
르노삼성 XM3 1.3 TCe  RE 시그니처,자동,5인승,4기통,152마력,26kgm,가솔린,2만km,"1,799"
현대 아반떼AD 1.6 GDi  스마트,자동,5인승,4기통,132마력,16.3kgm,가솔린,4만km,999
기아 쏘울 부스터 1.6 T-GDI 노블레스 스페셜,자동,5인승,4기통,204마력,26.9kgm,가솔린,3만km,"1,660"
쉐보레 스파크 LT  스페셜 에디션,자동,5인승,4기통,70마력,9.4kgm,가솔린,9만km,399
기아 K5 2.0  프레스티지,자동,5인승,4기통,165마력,20.2kgm,가솔린,10만km,570
르노삼성 뉴 SM5  LE ,자동,5인승,4기통,141마력,19.8kgm,가솔린,5만km,399
르노삼성 뉴 SM5  SE  블랙,자동,5인승,4기통,141마력,19.8kgm,가솔린,12만km,360
